"CUSTOMER_ID","FIRST_NAME","LAST_NAME","WEALTH","INCOME","CUSTOMER_DMG_SEGMENT","CUSTOMER_VALUE_SEGMENT","OCCUPATION","HIGHEST_CREDIT_CARD_LIMIT","DELINQUENCY_STATUS","MAX_CC_SPENT_AMOUNT","MAX_CC_SPENT_AMOUNT_PREV","RESIDENTIAL_STATUS"
58683,"""Julia""","""Hamilton""","Very Poor",500,"Segment5","Bronze","Professional",1500,"More Than Four Months",900,450,"Family Home"
33993,"Blake","Fowler","Very Poor",500,"Segment5","Bronze","Technician",1500,"Two Months Late",900,1050,"Family Home"
33993,"""Blake""","""Fowler""","Very Poor",500,"Segment5","Bronze","Technician",1500,"Two Months Late",900,1050,"Family Home"
50401,"Jenna","Jones","Very Poor",500,"Segment5","Bronze","Army",1500,"One Month Late",1200,900,"Family Home"
50401,"""Jenna""","""Jones""","Very Poor",500,"Segment5","Bronze","Army",1500,"One Month Late",1200,900,"Family Home"
45276,"Edwin","Warren","Very Poor",500,"Segment5","Bronze","Clerical",1500,"Four Months Late",1200,1200,"Tenant"
45276,"""Edwin""","""Warren""","Very Poor",500,"Segment5","Bronze","Clerical",1500,"Four Months Late",1200,1200,"Tenant"
41567,"Cadie","Foster","Very Poor",500,"Segment5","Bronze","Farmer",1500,"More Than Four Months",1200,1050,"Family Home"
41567,"""Cadie""","""Foster""","Very Poor",500,"Segment5","Bronze","Farmer",1500,"More Than Four Months",1200,1050,"Family Home"
4125,"Alexander","Evans","Very Poor",500,"Segment5","Bronze","Professional",1500,"Four Months Late",1500,600,"Family Home"
4125,"""Alexander""","""Evans""","Very Poor",500,"Segment5","Bronze","Professional",1500,"Four Months Late",1500,600,"Family Home"
60268,"Alberta","Holmes","Very Poor",500,"Segment5","Bronze","Manager",1500,"More Than Four Months",1500,150,"Tenant"
60268,"""Alberta""","""Holmes""","Very Poor",500,"Segment5","Bronze","Manager",1500,"More Than Four Months",1500,150,"Tenant"
61366,"Stella","Walker","Very Poor",500,"Segment5","Bronze","Manager",1500,"Four Months Late",1500,750,"Tenant"
61366,"""Stella""","""Walker""","Very Poor",500,"Segment5","Bronze","Manager",1500,"Four Months Late",1500,750,"Tenant"
3355,"Aldus","Gray","Very Poor",500,"Segment5","Bronze","Professional",1500,"Four Months Late",1500,1350,"Tenant"
3355,"""Aldus""","""Gray""","Very Poor",500,"Segment5","Bronze","Professional",1500,"Four Months Late",1500,1350,"Tenant"
1444,"Honey","Carroll","Poor",2750,"Segment4","Bronze","Technician",8250,"Normal",3300,6600,"Tenant"
1444,"""Honey""","""Carroll""","Poor",2750,"Segment4","Bronze","Technician",8250,"Normal",3300,6600,"Tenant"
44147,"Fenton","Hunt","Average",2750,"Segment3","Silver","Technician",8250,"Two Months Late",3300,825,"Tenant"
44147,"""Fenton""","""Hunt""","Average",2750,"Segment3","Silver","Technician",8250,"Two Months Late",3300,825,"Tenant"
50417,"Frederick","Grant","Poor",2750,"Segment4","Bronze","Army",8250,"Two Months Late",3300,825,"Tenant"
50417,"""Frederick""","""Grant""","Poor",2750,"Segment4","Bronze","Army",8250,"Two Months Late",3300,825,"Tenant"
53032,"Joyce","Parker","Average",2750,"Segment3","Silver","Technician",8250,"Four Months Late",3300,1650,"Tenant"
53032,"""Joyce""","""Parker""","Average",2750,"Segment3","Silver","Technician",8250,"Four Months Late",3300,1650,"Tenant"
71356,"Caroline","Hamilton","Poor",2750,"Segment4","Bronze","Professional",8250,"Three Months Late",3300,2475,"Tenant"
71356,"""Caroline""","""Hamilton""","Poor",2750,"Segment4","Bronze","Professional",8250,"Three Months Late",3300,2475,"Tenant"
90905,"Ted","Perry","",2750,"Segment3","Silver","Worker",8250,"Two Months Late",3300,2475,"Tenant"
90905,"""Ted""","""Perry""","",2750,"Segment3","Silver","Worker",8250,"Two Months Late",3300,2475,"Tenant"
68022,"Byron","Edwards","Poor",2750,"Segment4","Bronze","Technician",8250,"Three Months Late",3300,5775,"Tenant"
68022,"""Byron""","""Edwards""","Poor",2750,"Segment4","Bronze","Technician",8250,"Three Months Late",3300,5775,"Tenant"
13951,"Victoria","Campbell","Average",2750,"Segment3","Silver","Manager",8250,"Normal",3300,7425,"Tenant"
13951,"""Victoria""","""Campbell""","Average",2750,"Segment3","Silver","Manager",8250,"Normal",3300,7425,"Tenant"
57761,"Roland","Ryan","Poor",2750,"Segment4","Bronze","Technician",8250,"Four Months Late",3300,7425,"Tenant"
57761,"""Roland""","""Ryan""","Poor",2750,"Segment4","Bronze","Technician",8250,"Four Months Late",3300,7425,"Tenant"
76903,"Cadie","Hawkins","Average",2750,"Segment3","Silver","Worker",8250,"More Than Four Months",3300,7425,"Tenant"
76903,"""Cadie""","""Hawkins""","Average",2750,"Segment3","Silver","Worker",8250,"More Than Four Months",3300,7425,"Tenant"
87024,"Annabella","Farrell","Average",3750,"Segment3","Silver","Professional",11250,"More Than Four Months",4500,4500,"Tenant"
87024,"""Annabella""","""Farrell""","Average",3750,"Segment3","Silver","Professional",11250,"More Than Four Months",4500,4500,"Tenant"
4734,"Alen","Murray","Average",3750,"Segment3","Silver","Clerical",11250,"Two Months Late",4500,9000,"Tenant"
4734,"""Alen""","""Murray""","Average",3750,"Segment3","Silver","Clerical",11250,"Two Months Late",4500,9000,"Tenant"
33653,"Frederick","Russell","Rich",3750,"Segment2","Silver","Professional",11250,"Normal",4500,3375,"Owner"
33653,"""Frederick""","""Russell""","Rich",3750,"Segment2","Silver","Professional",11250,"Normal",4500,3375,"Owner"
28525,"Dale","Williams","Average",3750,"Segment3","Silver","Worker",11250,"One Month Late",4500,5625,"Tenant"
28525,"""Dale""","""Williams""","Average",3750,"Segment3","Silver","Worker",11250,"One Month Late",4500,5625,"Tenant"
95163,"Aldus","Watson","Rich",3750,"Segment2","Silver","Manager",11250,"One Month Late",4500,5625,"Tenant"
95163,"""Aldus""","""Watson""","Rich",3750,"Segment2","Silver","Manager",11250,"One Month Late",4500,5625,"Tenant"
549,"Arthur","Allen","Rich",4250,"Segment2","Silver","Professional",12750,"Normal",5100,5100,"Owner"
549,"""Arthur""","""Allen""","Rich",4250,"Segment2","Silver","Professional",12750,"Normal",5100,5100,"Owner"
88713,"Edith","Morrison","Very Rich",4250,"Segment1","Gold","Manager",12750,"One Month Late",5100,3825,"Owner"
88713,"""Edith""","""Morrison""","Very Rich",4250,"Segment1","Gold","Manager",12750,"One Month Late",5100,3825,"Owner"
39655,"Lucia","Elliott","Very Rich",4250,"Segment1","Gold","Professional",12750,"Normal",5100,8925,"Owner"
39655,"""Lucia""","""Elliott""","Very Rich",4250,"Segment1","Gold","Professional",12750,"Normal",5100,8925,"Owner"
92988,"Lana","Cameron","Rich",,"Segment2","Silver","Professional",12750,"Normal",5100,10200,"Tenant"
92988,"""Lana""","""Cameron""","Rich",,"Segment2","Silver","Professional",12750,"Normal",5100,10200,"Tenant"
13181,"Jessica","Holmes","Very Rich",4250,"Segment1","Gold","Professional",12750,"Normal",5100,11475,"Tenant"
13181,"""Jessica""","""Holmes""","Very Rich",4250,"Segment1","Gold","Professional",12750,"Normal",5100,11475,"Tenant"
54427,"Vanessa","Stewart","Very Rich",5250,"Segment1","Gold","Professional",15750,"Normal",6300,6300,"Owner"
54427,"""Vanessa""","""Stewart""","Very Rich",5250,"Segment1","Gold","Professional",15750,"Normal",6300,6300,"Owner"
34943,"Daniel","Miller","Rich",5250,"Segment2","Silver","Manager",15750,"Normal",6300,3150,"Tenant"
34943,"""Daniel""","""Miller""","Rich",5250,"Segment2","Silver","Manager",15750,"Normal",6300,3150,"Tenant"
60591,"Aida","Riley","Rich",5250,"Segment2","Silver","Professional",15750,"Normal",6300,12600,"Owner"
60591,"""Aida""","""Riley""","Rich",5250,"Segment2","Silver","Professional",15750,"Normal",6300,12600,"Owner"
98938,"Valeria","Baker","Very Rich",5250,"Segment1","Gold","Professional",15750,"Normal",6300,14175,"Owner"
98938,"""Valeria""","""Baker""","Very Rich",5250,"Segment1","Gold","Professional",15750,"Normal",6300,14175,"Owner"
35766,"Elian","Howard","Poor",2750,"","Bronze","Manager",8250,"More Than Four Months",6600,3300,"Tenant"
35766,"""Elian""","""Howard""","Poor",2750,"","Bronze","Manager",8250,"More Than Four Months",6600,3300,"Tenant"
35456,"Kristian","Clark","Average",2750,"Segment3","Silver","Professional",8250,"Three Months Late",6600,6600,"Tenant"
35456,"""Kristian""","""Clark""","Average",2750,"Segment3","Silver","Professional",8250,"Three Months Late",6600,6600,"Tenant"
10021,"Ashton","Edwards","Poor",2750,"Segment4","Bronze","Farmer",8250,"Four Months Late",6600,825,"Tenant"
10021,"""Ashton""","""Edwards""","Poor",2750,"Segment4","Bronze","Farmer",8250,"Four Months Late",6600,825,"Tenant"
52829,"Abigail","Cooper","Poor",2750,"Segment4","Bronze","Technician",8250,"Normal",6600,825,"Tenant"
52829,"""Abigail""","""Cooper""","Poor",2750,"Segment4","Bronze","Technician",8250,"Normal",6600,825,"Tenant"
55864,"Eleanor","Owens","Poor",2750,"Segment4","Bronze","Farmer",8250,"Normal",6600,825,"Tenant"
55864,"""Eleanor""","""Owens""","Poor",2750,"Segment4","Bronze","Farmer",8250,"Normal",6600,825,"Tenant"
3108,"Martin","Dixon","Average",,"Segment3","Silver","Worker",8250,"Normal",6600,1650,"Tenant"
3108,"""Martin""","""Dixon""","Average",,"Segment3","Silver","Worker",8250,"Normal",6600,1650,"Tenant"
44397,"Amber","Casey","Average",2750,"Segment3","Silver","Farmer",8250,"Normal",6600,1650,"Tenant"
44397,"""Amber""","""Casey""","Average",2750,"Segment3","Silver","Farmer",8250,"Normal",6600,1650,"Tenant"
14800,"Miranda","Ferguson","Average",2750,"Segment3","Silver","Manager",8250,"Three Months Late",6600,2475,"Tenant"
14800,"""Miranda""","""Ferguson""","Average",2750,"Segment3","Silver","Manager",8250,"Three Months Late",6600,2475,"Tenant"
63484,"Amy","Ross","Poor",2750,"Segment4","Bronze","Manager",8250,"Normal",6600,2475,"Tenant"
63484,"""Amy""","""Ross""","Poor",2750,"Segment4","Bronze","Manager",8250,"Normal",6600,2475,"Tenant"
12401,"Emma","Harper","Poor",2750,"Segment4","Bronze","Manager",8250,"More Than Four Months",6600,4950,"Tenant"
12401,"""Emma""","""Harper""","Poor",2750,"Segment4","Bronze","Manager",8250,"More Than Four Months",6600,4950,"Tenant"
17922,"William","Crawford","Average",2750,"Segment3","Silver","Clerical",8250,"One Month Late",6600,4950,"Tenant"
17922,"""William""","""Crawford""","Average",2750,"Segment3","Silver","Clerical",8250,"One Month Late",6600,4950,"Tenant"
54193,"Alissa","Mitchell","Poor",2750,"Segment4","Bronze","Manager",8250,"Two Months Late",6600,4950,"Tenant"
54193,"""Alissa""","""Mitchell""","Poor",2750,"Segment4","Bronze","Manager",8250,"Two Months Late",6600,4950,"Tenant"
24294,"Lucas","Murray","Rich",6250,"Segment2","Silver","Manager",18750,"Normal",7500,1875,"Tenant"
24294,"""Lucas""","""Murray""","Rich",6250,"Segment2","Silver","Manager",18750,"Normal",7500,1875,"Tenant"
85203,"Hailey","Tucker","Rich",6250,"Segment2","Silver","Manager",18750,"Normal",7500,1875,"Owner"
85203,"""Hailey""","""Tucker""","Rich",6250,"Segment2","Silver","Manager",18750,"Normal",7500,1875,"Owner"
2041,"Adele","Casey","Rich",6250,"Segment2","Silver","Manager",18750,"Normal",7500,5625,"Tenant"
2041,"""Adele""","""Casey""","Rich",6250,"Segment2","Silver","Manager",18750,"Normal",7500,5625,"Tenant"
96745,"Chester","Allen","Rich",6250,"Segment2","Silver","Professional",18750,"Normal",7500,5625,"Owner"
96745,"""Chester""","""Allen""","Rich",6250,"Segment2","Silver","Professional",18750,"Normal",7500,5625,"Owner"
37461,"Vincent","Kelley","Average",3750,"Segment3","Silver","Army",11250,"More Than Four Months",9000,9000,"Tenant"
37461,"""Vincent""","""Kelley""","Average",3750,"Segment3","Silver","Army",11250,"More Than Four Months",9000,9000,"Tenant"
71771,"Caroline","Spencer","Average",3750,"Segment3","Silver","Clerical",11250,"One Month Late",9000,3375,"Tenant"
71771,"""Caroline""","""Spencer""","Average",3750,"Segment3","Silver","Clerical",11250,"One Month Late",9000,3375,"Tenant"
85748,"Daisy","Morrison","Average",3750,"Segment3","Silver","Manager",11250,"One Month Late",9000,5625,"Tenant"
85748,"""Daisy""","""Morrison""","Average",3750,"Segment3","Silver","Manager",11250,"One Month Late",9000,5625,"Tenant"
3365,"Sabrina","Thomas","Rich",3750,"Segment2","Silver","Professional",11250,"Normal",9000,6750,"Tenant"
3365,"""Sabrina""","""Thomas""","Rich",3750,"Segment2","Silver","Professional",11250,"Normal",9000,6750,"Tenant"
74005,"Steven","Anderson","Rich",3750,"Segment2","Silver","Professional",11250,"Normal",9000,7874,"Tenant"
74005,"""Steven""","""Anderson""","Rich",3750,"Segment2","Silver","Professional",11250,"Normal",9000,7874,"Tenant"
13653,"Owen","Ferguson","Very Poor",500,"Segment5","Bronze","Professional",1500,"Two Months Late",150,1200,"Family Home"
13653,"""Owen""","""Ferguson""","Very Poor",500,"Segment5","Bronze","Professional",1500,"Two Months Late",150,1200,"Family Home"
91293,"Kellan","Phillips","Very Poor",500,"Segment5","","Technician",1500,"More Than Four Months",150,1200,"Family Home"
91293,"""Kellan""","""Phillips""","Very Poor",500,"Segment5","","Technician",1500,"More Than Four Months",150,1200,"Family Home"
6563,"Adrian","Holmes","Very Poor",500,"Segment5","Bronze","Manager",1500,"Four Months Late",150,150,"Tenant"
6563,"""Adrian""","""Holmes""","Very Poor",500,"Segment5","Bronze","Manager",1500,"Four Months Late",150,150,"Tenant"
25339,"Michael","Williams","Very Poor",500,"Segment5","Bronze","Clerical",1500,"Two Months Late",150,150,"Tenant"
25339,"""Michael""","""Williams""","Very Poor",500,"Segment5","Bronze","Clerical",1500,"Two Months Late",150,150,"Tenant"
9224,"Amy","Mitchell","Very Poor",500,"Segment5","Bronze","Army",1500,"Normal",150,450,"Tenant"
9224,"""Amy""","""Mitchell""","Very Poor",500,"Segment5","Bronze","Army",1500,"Normal",150,450,"Tenant"
83599,"Jared","Wilson","Very Poor",500,"Segment5","Bronze","Manager",1500,"Four Months Late",150,750,"Tenant"
83599,"""Jared""","""Wilson""","Very Poor",500,"Segment5","Bronze","Manager",1500,"Four Months Late",150,750,"Tenant"
94835,"Miller","Cunningham","Very Poor",,"Segment5","Bronze","Army",1500,"More Than Four Months",150,750,"Tenant"
94835,"""Miller""","""Cunningham""","Very Poor",,"Segment5","Bronze","Army",1500,"More Than Four Months",150,750,"Tenant"
82037,"Maximilian","Williams","Very Poor",500,"Segment5","Bronze","Farmer",1500,"Four Months Late",450,600,"Family Home"
82037,"""Maximilian""","""Williams""","Very Poor",500,"Segment5","Bronze","Farmer",1500,"Four Months Late",450,600,"Family Home"
43874,"Florrie","Moore","Poor",2150,"Segment4","Bronze","Army",6450,"More Than Four Months",645,645,"Tenant"
43874,"""Florrie""","""Moore""","Poor",2150,"Segment4","Bronze","Army",6450,"More Than Four Months",645,645,"Tenant"
31451,"Mary","Rogers","Poor",2150,"Segment4","Bronze","Technician",6450,"Three Months Late",645,1290,"Tenant"
31451,"""Mary""","""Rogers""","Poor",2150,"Segment4","Bronze","Technician",6450,"Three Months Late",645,1290,"Tenant"
63504,"Freddie","Taylor","Average",2150,"Segment3","Silver","Professional",6450,"Four Months Late",645,1290,"Tenant"
63504,"""Freddie""","""Taylor""","Average",2150,"Segment3","Silver","Professional",6450,"Four Months Late",645,1290,"Tenant"
77237,"James","Hamilton","Poor",2150,"Segment4","Bronze","Manager",6450,"Two Months Late",645,1290,"Tenant"
77237,"""James""","""Hamilton""","Poor",2150,"Segment4","Bronze","Manager",6450,"Two Months Late",645,1290,"Tenant"
18436,"Daisy","Sullivan","Poor",2150,"Segment4","Bronze","Professional",6450,"More Than Four Months",645,1935,"Tenant"
18436,"""Daisy""","""Sullivan""","Poor",2150,"Segment4","Bronze","Professional",6450,"More Than Four Months",645,1935,"Tenant"
24379,"Arthur","Ellis","Poor",2150,"Segment4","Bronze","Manager",6450,"Three Months Late",645,1935,"Tenant"
24379,"""Arthur""","""Ellis""","Poor",2150,"Segment4","Bronze","Manager",6450,"Three Months Late",645,1935,"Tenant"
85471,"Elise","Russell","Poor",2150,"Segment4","Bronze","Worker",6450,"More Than Four Months",645,2580,"Tenant"
85471,"""Elise""","""Russell""","Poor",2150,"Segment4","Bronze","Worker",6450,"More Than Four Months",645,2580,"Tenant"
18365,"Reid","Craig","Poor",2150,"Segment4","Bronze","Professional",6450,"Normal",645,3225,"Tenant"
18365,"""Reid""","""Craig""","Poor",2150,"Segment4","Bronze","Professional",6450,"Normal",645,3225,"Tenant"
98465,"Paige","West","Poor",2150,"Segment4","Bronze","Clerical",6450,"Normal",645,3225,"Tenant"
98465,"""Paige""","""West""","Poor",2150,"Segment4","Bronze","Clerical",6450,"Normal",645,3225,"Tenant"
1531,"Edgar","Casey","",2150,"Segment3","Silver","Manager",6450,"Four Months Late",645,5805,"Tenant"
1531,"""Edgar""","""Casey""","",2150,"Segment3","Silver","Manager",6450,"Four Months Late",645,5805,"Tenant"
21423,"Madaline","Myers","Very Poor",500,"Segment5","Bronze","Manager",1500,"More Than Four Months",750,1200,"Tenant"
21423,"""Madaline""","""Myers""","Very Poor",500,"Segment5","Bronze","Manager",1500,"More Than Four Months",750,1200,"Tenant"
36356,"Sawyer","Armstrong","Very Poor",500,"Segment5","Bronze","Army",1500,"Normal",750,750,"Family Home"
36356,"""Sawyer""","""Armstrong""","Very Poor",500,"Segment5","Bronze","Army",1500,"Normal",750,750,"Family Home"
39199,"Lydia","Richards","Very Poor",500,"Segment5","Bronze","Farmer",1500,"Two Months Late",750,1350,"Family Home"
39199,"""Lydia""","""Richards""","Very Poor",500,"Segment5","Bronze","Farmer",1500,"Two Months Late",750,1350,"Family Home"
75292,"Savana","Murray","Poor",2750,"Segment4","Bronze","Clerical",8250,"One Month Late",825,,"Tenant"
75292,"""Savana""","""Murray""","Poor",2750,"Segment4","Bronze","Clerical",8250,"One Month Late",825,,"Tenant"
96872,"Madaline","Watson","Average",2750,"Segment3","Silver","Worker",8250,"Normal",825,,"Tenant"
96872,"""Madaline""","""Watson""","Average",2750,"Segment3","Silver","Worker",8250,"Normal",825,,"Tenant"
1061,"Nicole","Ryan","Poor",2750,"Segment4","Bronze","Professional",8250,"One Month Late",825,3300,"Tenant"
1061,"""Nicole""","""Ryan""","Poor",2750,"Segment4","Bronze","Professional",8250,"One Month Late",825,3300,"Tenant"
7606,"Caroline","Johnson","Poor",2750,"Segment4","Bronze","Worker",8250,"Two Months Late",825,3300,"Tenant"
7606,"""Caroline""","""Johnson""","Poor",2750,"Segment4","Bronze","Worker",8250,"Two Months Late",825,3300,"Tenant"
19345,"Vivian","Watson","Poor",2750,"Segment4","Bronze","Worker",8250,"Normal",825,3300,"Tenant"
19345,"""Vivian""","""Watson""","Poor",2750,"Segment4","Bronze","Worker",8250,"Normal",825,3300,"Tenant"
56683,"Tyler","Henderson","Poor",2750,"Segment4","Bronze","Technician",8250,"Two Months Late",825,3300,"Tenant"
56683,"""Tyler""","""Henderson""","Poor",2750,"Segment4","Bronze","Technician",8250,"Two Months Late",825,3300,"Tenant"
39711,"Alen","Baker","Poor",2750,"Segment4","Bronze","Manager",8250,"More Than Four Months",825,6600,"Tenant"
39711,"""Alen""","""Baker""","Poor",2750,"Segment4","Bronze","Manager",8250,"More Than Four Months",825,6600,"Tenant"
32665,"Valeria","Craig","Poor",2750,"Segment4","Bronze","Army",8250,"Two Months Late",825,825,"Tenant"
32665,"""Valeria""","""Craig""","Poor",2750,"Segment4","Bronze","Army",8250,"Two Months Late",825,825,"Tenant"
61452,"Samantha","Murray","Poor",2750,"Segment4","Bronze","Professional",8250,"Three Months Late",825,825,"Tenant"
61452,"""Samantha""","""Murray""","Poor",2750,"Segment4","Bronze","Professional",8250,"Three Months Late",825,825,"Tenant"
60311,"Oliver","Edwards","Average",2750,"Segment3","Silver","Manager",8250,"One Month Late",825,1650,"Tenant"
60311,"""Oliver""","""Edwards""","Average",2750,"Segment3","Silver","Manager",8250,"One Month Late",825,1650,"Tenant"
47912,"Michelle","Craig","Average",2750,"Segment3","Silver","Army",8250,"More Than Four Months",825,2475,"Tenant"
47912,"""Michelle""","""Craig""","Average",2750,"Segment3","Silver","Army",8250,"More Than Four Months",825,2475,"Tenant"
83640,"Carl","Nelson","Poor",2750,"Segment4","Bronze","Technician",8250,"More Than Four Months",825,4950,""
83640,"""Carl""","""Nelson""","Poor",2750,"Segment4","Bronze","Technician",8250,"More Than Four Months",825,4950,""
84592,"Vincent","Cole","Average",2750,"Segment3","Silver","Worker",8250,"More Than Four Months",825,4950,"Tenant"
84592,"""Vincent""","""Cole""","Average",2750,"Segment3","Silver","Worker",8250,"More Than Four Months",825,4950,"Tenant"
18005,"Daisy","Richards","Average",2750,"Segment3","Silver","Worker",8250,"One Month Late",825,5775,"Tenant"
18005,"""Daisy""","""Richards""","Average",2750,"Segment3","Silver","Worker",8250,"One Month Late",825,5775,"Tenant"
12757,"Carl","Watson","Poor",2750,"Segment4","Bronze","Clerical",8250,"Two Months Late",825,7425,"Tenant"
12757,"""Carl""","""Watson""","Poor",2750,"Segment4","Bronze","Clerical",8250,"Two Months Late",825,7425,"Tenant"
61267,"April","Chapman","Very Poor",500,"Segment5","Bronze","Technician",,"Three Months Late",1050,300,"Family Home"
61267,"""April""","""Chapman""","Very Poor",500,"Segment5","Bronze","Technician",,"Three Months Late",1050,300,"Family Home"
65834,"Alen","Anderson","Very Poor",500,"Segment5","Bronze","Farmer",1500,"Four Months Late",1050,600,"Family Home"
65834,"""Alen""","""Anderson""","Very Poor",500,"Segment5","Bronze","Farmer",1500,"Four Months Late",1050,600,"Family Home"
11836,"Daisy","Russell","Very Poor",500,"Segment5","Bronze","Farmer",,"Four Months Late",1050,900,"Family Home"
11836,"""Daisy""","""Russell""","Very Poor",500,"Segment5","Bronze","Farmer",,"Four Months Late",1050,900,"Family Home"
57229,"Anna","Wells","Very Poor",500,"Segment5","Bronze","Worker",1500,"Two Months Late",1050,900,"Tenant"
57229,"""Anna""","""Wells""","Very Poor",500,"Segment5","Bronze","Worker",1500,"Two Months Late",1050,900,"Tenant"
12065,"James","Armstrong","Very Poor",500,"Segment5","Bronze","Clerical",1500,"One Month Late",1050,1200,"Family Home"
12065,"""James""","""Armstrong""","Very Poor",500,"Segment5","Bronze","Clerical",1500,"One Month Late",1050,1200,"Family Home"
50396,"Roland","Elliott","Rich",3750,"Segment2","Silver","Manager",11250,"Normal",1125,3375,"Owner"
50396,"""Roland""","""Elliott""","Rich",3750,"Segment2","Silver","Manager",11250,"Normal",1125,3375,"Owner"
71484,"Kelvin","Barrett","Average",3750,"Segment3","Silver","Clerical",11250,"Two Months Late",1125,3375,"Tenant"
71484,"""Kelvin""","""Barrett""","Average",3750,"Segment3","Silver","Clerical",11250,"Two Months Late",1125,3375,"Tenant"
62949,"Aida","Wells","Average",3750,"Segment3","Silver","Army",11250,"",1125,5625,"Tenant"
62949,"""Aida""","""Wells""","Average",3750,"Segment3","Silver","Army",11250,"",1125,5625,"Tenant"
52159,"Aldus","Grant","Average",3750,"Segment3","Silver","Army",11250,"Normal",1125,10125,"Tenant"
52159,"""Aldus""","""Grant""","Average",3750,"Segment3","Silver","Army",11250,"Normal",1125,10125,"Tenant"
98768,"Chester","Dixon","Rich",4250,"Segment2","Silver","Professional",12750,"Normal",1275,7650,"Owner"
98768,"""Chester""","""Dixon""","Rich",4250,"Segment2","Silver","Professional",12750,"Normal",1275,7650,"Owner"
82853,"Mike","Ross","Poor",2150,"Segment4","Bronze","Technician",6450,"Three Months Late",1290,1935,"Tenant"
