"CUSTOMER_ID","FIRST_NAME","LAST_NAME"
60726,"Sienna","Johnson"
7606,"Caroline","Johnson"
17243,"April","Perkins"
55013,"James","Perkins"
33077,"Michael","Perkins"
37267,"Natalie","Perkins"
22729,"Agata","Roberts"
31286,"Briony","Roberts"
4813,"Brooke","Roberts"
71128,"Chester","Roberts"
24641,"Florrie","Roberts"
22341,"Rebecca","Roberts"
11836,"Daisy","Russell"
85471,"Elise","Russell"
58845,"Marcus","Russell"
42943,"Miranda","Russell"
31029,"Alexander","Russell"
33653,"Frederick","Russell"
18475,"Anna","Spencer"
57813,"Lydia","Spencer"
14768,"Jasmine","Spencer"
71771,"Caroline","Spencer"
27998,"Edwin","Stevens"
7033,"Arthur","Stevens"
95178,"Gianna","Stevens"
80869,"Haris","Stewart"
26161,"Rubie","Stewart"
54427,"Vanessa","Stewart"
65834,"Alen","Anderson"
11204,"Adele","Anderson"
24872,"Henry","Anderson"
74005,"Steven","Anderson"
38638,"Natalie","Anderson"
78843,"James","Campbell"
18858,"Alexia","Campbell"
68535,"Nicole","Campbell"
68511,"Chester","Campbell"
57479,"William","Campbell"
13951,"Victoria","Campbell"
61799,"Clark","Crawford"
64869,"Miley","Crawford"
35648,"Violet","Crawford"
53704,"Belinda","Crawford"
44990,"Michael","Crawford"
17922,"William","Crawford"
13653,"Owen","Ferguson"
39239,"Paul","Ferguson"
36081,"Tara","Ferguson"
14800,"Miranda","Ferguson"
95313,"Sabrina","Ferguson"
77237,"James","Hamilton"
58683,"Julia","Hamilton"
10472,"Ashton","Hamilton"
78024,"Adrianna","Hamilton"
71356,"Caroline","Hamilton"
6202,"Bruce","Harrison"
85420,"Edith","Harrison"
35580,"Steven","Harrison"
34103,"Richard","Harrison"
71077,"Dale","Johnston"
40431,"Lana","Johnston"
62017,"April","Johnston"
32618,"Alford","Johnston"
9224,"Amy","Mitchell"
54193,"Alissa","Mitchell"
96761,"Carina","Mitchell"
86553,"Freddie","Mitchell"
66510,"Adam","Morrison"
85748,"Daisy","Morrison"
88713,"Edith","Morrison"
34448,"James","Morrison"
80760,"Alford","Phillips"
91293,"Kellan","Phillips"
8743,"Belinda","Phillips"
42997,"Adrianna","Phillips"
14663,"Sam","Richards"
42559,"Dale","Richards"
10919,"Blake","Richards"
18005,"Daisy","Richards"
39199,"Lydia","Richards"
85377,"Camila","Robinson"
71895,"Abigail","Robinson"
18436,"Daisy","Sullivan"
66387,"Ada","Thompson"
66639,"Amy","Thompson"
44317,"Adele","Thompson"
17018,"Victoria","Thompson"
28525,"Dale","Williams"
59736,"Brooke","Williams"
25339,"Michael","Williams"
82037,"Maximilian","Williams"
93472,"Alford","Alexander"
86349,"Deanna","Alexander"
54055,"Alberta","Alexander"
6192,"Caroline","Alexander"
58835,"Catherine","Alexander"
12065,"James","Armstrong"
12701,"Martin","Armstrong"
36356,"Sawyer","Armstrong"
82534,"Valeria","Armstrong"
72671,"James","Henderson"
56683,"Tyler","Henderson"
47522,"Frederick","Henderson"
28989,"Jacob","Cunningham"
94835,"Miller","Cunningham"
13739,"Alina","Montgomery"
71965,"Nicole","Montgomery"
62841,"Daniel","Richardson"
47404,"Gianna","Richardson"
